chain_code,chain_name,enabled,source_type,source_url,source_tags,payment_tags,first_seen_at,last_seen_at,deleted_at,notes
,ANA DUTY FREE SHOP,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 空港施設
,ANA FESTA,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 空港施設
,ANAクラウンプラザホテル富山,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 宿泊施設
,A－プライス,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: スーパーマーケット・ホームセンター
,Bettie64,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,C one,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 百貨店・モール
,CAFE&BAKERY MIYABI,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,CoCo壱番屋,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: グルメ
,DIFFERENCE,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: 服飾
,Fit Care DEPOT,FALSE,review_needed,https://www.smart-code.jp/shoplist/,smart_code_site,smart_code,2026-03-14,2026-03-14,,Auto-added from Smart Code section: ドラッグストア・薬局
