shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url
1357-dcdb58182a,blue-tag,美容・理容,1357,兵庫県赤穂市北野中324-1,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
29-9258f4e11f,blue-tag,居酒屋・バー,29ーふくー,兵庫県赤穂市加里屋65-18,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
808-curry-vegetable-c726b27e3a,blue-tag,専門料理店,808 Curry & Vegetable,大阪府高槻市芥川町2丁目14-3島津ビル1階,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
almaz2nd-10c8ae7ab9,blue-tag,居酒屋・バー,ALMAZ2nd,高知県高知市追手筋1-3-15サンフィールドアプレビル3階北,,,blue_tag,https://almaz2nd.crayonsite.com/
ayu-shop-1e37ebd306,blue-tag,アパレル,Ayu夢Shop富山いみず総本店,富山県射水市東太閤山3-53,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
bar-a-solutions-f7f264bbe3,blue-tag,居酒屋・バー,BAR A-SOLUTIONS,兵庫県神戸市中央区下山手通2-17-10ライオンビル三宮館3階,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
bar-kaguya-05d8619153,blue-tag,居酒屋・バー,BAR KAGUYA,京都府宇治市宇治妙楽17-1,,,blue_tag,https://bar-kaguya.foodre.jp
bar-laughing-95a6d5d10d,blue-tag,居酒屋・バー,BAR LAUGHING,大阪府大阪市　中央区道頓堀（１丁目東）5-18わんわん共和国ビルB1F,,,blue_tag,https://bar-laughing.com
bar-haohao-cd0c044b26,blue-tag,居酒屋・バー,BAR haohao,広島県広島市西区横川町３-２-１０,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
bar-fa347a83a6,blue-tag,居酒屋・バー,BARえびふらいレコーズ,大阪府大阪市　中央区石町　２丁目２－２０ CHIKAMATSUBILD 3階西,,,blue_tag,https://ebifly-records.co.jp/
