change_type,snapshot_date,section_name,chain_name
added,2026-03-14,その他サービス,てもみん
added,2026-03-14,その他サービス,グローバル治療院
added,2026-03-14,その他サービス,リブマックス /リブマックスリーシング
added,2026-03-14,その他サービス,茨城交通
added,2026-03-14,その他サービス,証明写真機 Ｋｉ－Ｒｅ－ｉ
added,2026-03-14,その他ショッピング,ひごペットフレンドリー
added,2026-03-14,その他ショッピング,アストロプロダクツ
added,2026-03-14,その他ショッピング,イエローハット
added,2026-03-14,その他ショッピング,イシグロ
added,2026-03-14,その他ショッピング,オートバックス
added,2026-03-14,その他ショッピング,カクヤス
added,2026-03-14,その他ショッピング,ジャパン
added,2026-03-14,その他ショッピング,セリア
added,2026-03-14,その他ショッピング,デコホーム
added,2026-03-14,その他ショッピング,トイザらス
added,2026-03-14,その他ショッピング,ナップス
added,2026-03-14,その他ショッピング,ニトリ
added,2026-03-14,その他ショッピング,ニトリホームズ
added,2026-03-14,その他ショッピング,ベビーザらス
added,2026-03-14,その他ショッピング,ペットフォレスト
added,2026-03-14,その他ショッピング,ペットワールドアミーゴ
added,2026-03-14,その他ショッピング,万SAI堂
added,2026-03-14,その他ショッピング,上州屋
added,2026-03-14,その他ショッピング,千疋屋総本店
added,2026-03-14,その他ショッピング,好日山荘
added,2026-03-14,その他ショッピング,秀岳荘
added,2026-03-14,その他ショッピング,酒ゃビック
added,2026-03-14,その他ショッピング,Ｎプラス
added,2026-03-14,グルメ,Bettie64
added,2026-03-14,グルメ,CAFE&BAKERY MIYABI
added,2026-03-14,グルメ,CoCo壱番屋
added,2026-03-14,グルメ,TEXMEX FACTORY
added,2026-03-14,グルメ,TGI FRIDAYS
added,2026-03-14,グルメ,THE 3RD CAFE by Standard Coffee
added,2026-03-14,グルメ,WANG'S GARDEN
added,2026-03-14,グルメ,いきなりステーキ
added,2026-03-14,グルメ,おかげ庵
added,2026-03-14,グルメ,おたる亭すすきの店
added,2026-03-14,グルメ,おたる亭本店
added,2026-03-14,グルメ,おたる別亭
added,2026-03-14,グルメ,くら寿司
added,2026-03-14,グルメ,ぐ～
added,2026-03-14,グルメ,こだわりとんかつ かつき亭
added,2026-03-14,グルメ,こだわりのれん街
added,2026-03-14,グルメ,さかなや道場
added,2026-03-14,グルメ,しゃぶ葉
added,2026-03-14,グルメ,しゃぶ食べ
added,2026-03-14,グルメ,すしざむらい
added,2026-03-14,グルメ,すしの和
added,2026-03-14,グルメ,すし日和
added,2026-03-14,グルメ,なかなか
added,2026-03-14,グルメ,はなの舞
added,2026-03-14,グルメ,やまなか家
added,2026-03-14,グルメ,らーめん日高
added,2026-03-14,グルメ,イトーヨーカ堂／ポッポ
added,2026-03-14,グルメ,ウェンディーズ・ファーストキッチン
added,2026-03-14,グルメ,ガスト
added,2026-03-14,グルメ,キタノイチバ
added,2026-03-14,グルメ,キリンビアファーム
added,2026-03-14,グルメ,クルーズクルーズ
added,2026-03-14,グルメ,ケンタッキーフライドチキン
added,2026-03-14,グルメ,コメダ珈琲店
added,2026-03-14,グルメ,ザ・ニッカバー
added,2026-03-14,グルメ,シェーキーズ
added,2026-03-14,グルメ,シカゴピザ
added,2026-03-14,グルメ,シズラー
added,2026-03-14,グルメ,シージャック
added,2026-03-14,グルメ,ジョナサン
added,2026-03-14,グルメ,スシロー
added,2026-03-14,グルメ,スタンダードコーヒー
added,2026-03-14,グルメ,ステーキガスト
added,2026-03-14,グルメ,ステーキ屋松
added,2026-03-14,グルメ,スプリングバレーブルワリー
added,2026-03-14,グルメ,セブン＆アイフードシステムズ／デニーズ
added,2026-03-14,グルメ,ドワ
added,2026-03-14,グルメ,ハイデイ日高
added,2026-03-14,グルメ,バリヤス酒場
added,2026-03-14,グルメ,バーミヤン
added,2026-03-14,グルメ,パスタ・デ・ココ
added,2026-03-14,グルメ,パークショップ
added,2026-03-14,グルメ,ファーストキッチン
added,2026-03-14,グルメ,フライングガーデン
added,2026-03-14,グルメ,プリン本舗すすきの店
added,2026-03-14,グルメ,ベニーレベニーレ
added,2026-03-14,グルメ,ホルモン食堂 食樂
added,2026-03-14,グルメ,マイカリー食堂
added,2026-03-14,グルメ,マリンポリス
added,2026-03-14,グルメ,ミライザカ
added,2026-03-14,グルメ,モダンタイムス
added,2026-03-14,グルメ,モディッシュ
added,2026-03-14,グルメ,レストラン 花の木
added,2026-03-14,グルメ,レストランビアポート
added,2026-03-14,グルメ,ロイヤルガーデンカフェ
added,2026-03-14,グルメ,ロイヤルホスト
added,2026-03-14,グルメ,三代目鳥メロ
added,2026-03-14,グルメ,中華一番
added,2026-03-14,グルメ,串カツ田中
added,2026-03-14,グルメ,丸亀製麺
added,2026-03-14,グルメ,元祖寿司
added,2026-03-14,グルメ,北海道ジンギスカン蝦夷屋
added,2026-03-14,グルメ,千年の宴
added,2026-03-14,グルメ,地球人
added,2026-03-14,グルメ,夢庵
added,2026-03-14,グルメ,大庄水産
added,2026-03-14,グルメ,天丼てんや
added,2026-03-14,グルメ,山内農場
added,2026-03-14,グルメ,庄や
added,2026-03-14,グルメ,掌
added,2026-03-14,グルメ,文化食堂
added,2026-03-14,グルメ,日の出本舗
added,2026-03-14,グルメ,日高屋
added,2026-03-14,グルメ,星のなる木
added,2026-03-14,グルメ,月の宴
added,2026-03-14,グルメ,月夜のたぬき
added,2026-03-14,グルメ,来来軒
added,2026-03-14,グルメ,松のや
added,2026-03-14,グルメ,松屋
added,2026-03-14,グルメ,海都
added,2026-03-14,グルメ,濱焼北海道魚萬
added,2026-03-14,グルメ,焼肉の和民
added,2026-03-14,グルメ,焼鳥日高
added,2026-03-14,グルメ,牛たん徳茂
added,2026-03-14,グルメ,牛たん炭火焼き 利久
added,2026-03-14,グルメ,白木屋
added,2026-03-14,グルメ,目利きの銀次
added,2026-03-14,グルメ,福福屋
added,2026-03-14,グルメ,笑笑
added,2026-03-14,グルメ,豊丸水産
added,2026-03-14,グルメ,豊後高田どり酒場
added,2026-03-14,グルメ,軍鶏農場
added,2026-03-14,グルメ,銀座ルノアール
added,2026-03-14,グルメ,銀政
added,2026-03-14,グルメ,風
added,2026-03-14,グルメ,餃子の王将
added,2026-03-14,グルメ,魚民
added,2026-03-14,グルメ,魚鮮水産
added,2026-03-14,グルメ,鳥永 すすきの総本店
added,2026-03-14,グルメ,鶏のGeorge
added,2026-03-14,グルメ,黒の50
added,2026-03-14,コンビニエンスストア,セブン-イレブン
added,2026-03-14,コンビニエンスストア,ナチュラルローソン
added,2026-03-14,コンビニエンスストア,ファミリーマート
added,2026-03-14,コンビニエンスストア,ポプラ
added,2026-03-14,コンビニエンスストア,ローソン
added,2026-03-14,コンビニエンスストア,ローソンストア100
added,2026-03-14,コンビニエンスストア,生活彩家
added,2026-03-14,スーパーマーケット・ホームセンター,A－プライス
added,2026-03-14,スーパーマーケット・ホームセンター,KINSHO／Harves
added,2026-03-14,スーパーマーケット・ホームセンター,Qマート
added,2026-03-14,スーパーマーケット・ホームセンター,イトーヨーカ堂／イトーヨーカドー
added,2026-03-14,スーパーマーケット・ホームセンター,オーケー
added,2026-03-14,スーパーマーケット・ホームセンター,オータニ
added,2026-03-14,スーパーマーケット・ホームセンター,コメリ
added,2026-03-14,スーパーマーケット・ホームセンター,コーナン
added,2026-03-14,スーパーマーケット・ホームセンター,サンプラザ
added,2026-03-14,スーパーマーケット・ホームセンター,ジョイフルエーケー
added,2026-03-14,スーパーマーケット・ホームセンター,スーパーアルプス
added,2026-03-14,スーパーマーケット・ホームセンター,スーパーマーケットバロー
added,2026-03-14,スーパーマーケット・ホームセンター,ダイユーエイト
added,2026-03-14,スーパーマーケット・ホームセンター,フクハラ
added,2026-03-14,スーパーマーケット・ホームセンター,フーズマーケットホック
added,2026-03-14,スーパーマーケット・ホームセンター,ベストホーム
added,2026-03-14,スーパーマーケット・ホームセンター,ベストム
added,2026-03-14,スーパーマーケット・ホームセンター,ベルジョイス
added,2026-03-14,スーパーマーケット・ホームセンター,ホームセンターバロー
added,2026-03-14,スーパーマーケット・ホームセンター,マルマンストア
added,2026-03-14,スーパーマーケット・ホームセンター,ユニバース
added,2026-03-14,スーパーマーケット・ホームセンター,ヨークベニマル
added,2026-03-14,スーパーマーケット・ホームセンター,ヨーク／コンフォートマーケット
added,2026-03-14,スーパーマーケット・ホームセンター,ヨーク／ヨークフーズ
added,2026-03-14,スーパーマーケット・ホームセンター,ヨーク／ヨークプライス
added,2026-03-14,スーパーマーケット・ホームセンター,ヨーク／ヨークマート
added,2026-03-14,スーパーマーケット・ホームセンター,ラッキー
added,2026-03-14,スーパーマーケット・ホームセンター,ラルズ
added,2026-03-14,スーパーマーケット・ホームセンター,ロイヤルホームセンター
added,2026-03-14,スーパーマーケット・ホームセンター,京浜さえき
added,2026-03-14,スーパーマーケット・ホームセンター,伊藤チェーン
added,2026-03-14,スーパーマーケット・ホームセンター,山梨さえき（おかじま）
added,2026-03-14,スーパーマーケット・ホームセンター,山梨さえき（セルバ）
added,2026-03-14,スーパーマーケット・ホームセンター,島忠ホームズ
added,2026-03-14,スーパーマーケット・ホームセンター,成城石井
added,2026-03-14,スーパーマーケット・ホームセンター,新鮮食材キャッシュ＆キャリー昭和
added,2026-03-14,スーパーマーケット・ホームセンター,東京さえき
added,2026-03-14,スーパーマーケット・ホームセンター,東光ストア
added,2026-03-14,スーパーマーケット・ホームセンター,東急ストア
