snapshot_date,section_name,chain_name
2026-03-14,その他サービス,てもみん
2026-03-14,その他サービス,グローバル治療院
2026-03-14,その他サービス,リブマックス /リブマックスリーシング
2026-03-14,その他サービス,茨城交通
2026-03-14,その他サービス,証明写真機 Ｋｉ－Ｒｅ－ｉ
2026-03-14,その他ショッピング,ひごペットフレンドリー
2026-03-14,その他ショッピング,アストロプロダクツ
2026-03-14,その他ショッピング,イエローハット
2026-03-14,その他ショッピング,イシグロ
2026-03-14,その他ショッピング,オートバックス
2026-03-14,その他ショッピング,カクヤス
2026-03-14,その他ショッピング,ジャパン
2026-03-14,その他ショッピング,セリア
2026-03-14,その他ショッピング,デコホーム
2026-03-14,その他ショッピング,トイザらス
2026-03-14,その他ショッピング,ナップス
2026-03-14,その他ショッピング,ニトリ
2026-03-14,その他ショッピング,ニトリホームズ
2026-03-14,その他ショッピング,ベビーザらス
2026-03-14,その他ショッピング,ペットフォレスト
2026-03-14,その他ショッピング,ペットワールドアミーゴ
2026-03-14,その他ショッピング,万SAI堂
2026-03-14,その他ショッピング,上州屋
2026-03-14,その他ショッピング,千疋屋総本店
2026-03-14,その他ショッピング,好日山荘
2026-03-14,その他ショッピング,秀岳荘
2026-03-14,その他ショッピング,酒ゃビック
2026-03-14,その他ショッピング,Ｎプラス
2026-03-14,グルメ,Bettie64
2026-03-14,グルメ,CAFE&BAKERY MIYABI
2026-03-14,グルメ,CoCo壱番屋
2026-03-14,グルメ,TEXMEX FACTORY
2026-03-14,グルメ,TGI FRIDAYS
2026-03-14,グルメ,THE 3RD CAFE by Standard Coffee
2026-03-14,グルメ,WANG'S GARDEN
2026-03-14,グルメ,いきなりステーキ
2026-03-14,グルメ,おかげ庵
2026-03-14,グルメ,おたる亭すすきの店
2026-03-14,グルメ,おたる亭本店
2026-03-14,グルメ,おたる別亭
2026-03-14,グルメ,くら寿司
2026-03-14,グルメ,ぐ～
2026-03-14,グルメ,こだわりとんかつ かつき亭
2026-03-14,グルメ,こだわりのれん街
2026-03-14,グルメ,さかなや道場
2026-03-14,グルメ,しゃぶ葉
2026-03-14,グルメ,しゃぶ食べ
2026-03-14,グルメ,すしざむらい
2026-03-14,グルメ,すしの和
2026-03-14,グルメ,すし日和
2026-03-14,グルメ,なかなか
2026-03-14,グルメ,はなの舞
2026-03-14,グルメ,やまなか家
2026-03-14,グルメ,らーめん日高
2026-03-14,グルメ,イトーヨーカ堂／ポッポ
2026-03-14,グルメ,ウェンディーズ・ファーストキッチン
2026-03-14,グルメ,ガスト
2026-03-14,グルメ,キタノイチバ
2026-03-14,グルメ,キリンビアファーム
2026-03-14,グルメ,クルーズクルーズ
2026-03-14,グルメ,ケンタッキーフライドチキン
2026-03-14,グルメ,コメダ珈琲店
2026-03-14,グルメ,ザ・ニッカバー
2026-03-14,グルメ,シェーキーズ
2026-03-14,グルメ,シカゴピザ
2026-03-14,グルメ,シズラー
2026-03-14,グルメ,シージャック
2026-03-14,グルメ,ジョナサン
2026-03-14,グルメ,スシロー
2026-03-14,グルメ,スタンダードコーヒー
2026-03-14,グルメ,ステーキガスト
2026-03-14,グルメ,ステーキ屋松
2026-03-14,グルメ,スプリングバレーブルワリー
2026-03-14,グルメ,セブン＆アイフードシステムズ／デニーズ
2026-03-14,グルメ,ドワ
2026-03-14,グルメ,ハイデイ日高
2026-03-14,グルメ,バリヤス酒場
2026-03-14,グルメ,バーミヤン
2026-03-14,グルメ,パスタ・デ・ココ
2026-03-14,グルメ,パークショップ
2026-03-14,グルメ,ファーストキッチン
2026-03-14,グルメ,フライングガーデン
2026-03-14,グルメ,プリン本舗すすきの店
2026-03-14,グルメ,ベニーレベニーレ
2026-03-14,グルメ,ホルモン食堂 食樂
2026-03-14,グルメ,マイカリー食堂
2026-03-14,グルメ,マリンポリス
2026-03-14,グルメ,ミライザカ
2026-03-14,グルメ,モダンタイムス
2026-03-14,グルメ,モディッシュ
2026-03-14,グルメ,レストラン 花の木
2026-03-14,グルメ,レストランビアポート
2026-03-14,グルメ,ロイヤルガーデンカフェ
2026-03-14,グルメ,ロイヤルホスト
2026-03-14,グルメ,三代目鳥メロ
2026-03-14,グルメ,中華一番
2026-03-14,グルメ,串カツ田中
