snapshot_date,section_name,smart_code_chain_name,suggested_master_chain_name,review_status
2026-03-14,空港施設,ANA DUTY FREE SHOP,,needs_review
2026-03-14,空港施設,ANA FESTA,,needs_review
2026-03-14,宿泊施設,ANAクラウンプラザホテル富山,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,A－プライス,,needs_review
2026-03-14,グルメ,Bettie64,,needs_review
2026-03-14,百貨店・モール,C one,,needs_review
2026-03-14,グルメ,CAFE&BAKERY MIYABI,,needs_review
2026-03-14,グルメ,CoCo壱番屋,,needs_review
2026-03-14,服飾,DIFFERENCE,,needs_review
2026-03-14,ドラッグストア・薬局,Fit Care DEPOT,,needs_review
2026-03-14,ドラッグストア・薬局,Fit Care Express,,needs_review
2026-03-14,ドラッグストア・薬局,Fit Care MART,,needs_review
2026-03-14,ドラッグストア・薬局,HAC,,needs_review
2026-03-14,服飾,KENFORD,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,KINSHO／Harves,,needs_review
2026-03-14,百貨店・モール,KiKi京橋,,needs_review
2026-03-14,服飾,P.S.FA,,needs_review
2026-03-14,百貨店・モール,PRALIVA（プラリバ）,,needs_review
2026-03-14,スーパーマーケット・ホームセンター,Qマート,,needs_review
2026-03-14,服飾,REGAL,,needs_review
2026-03-14,服飾,REGAL SHOE & co.,,needs_review
2026-03-14,服飾,REGAL SHOES,,needs_review
2026-03-14,服飾,REGAL TOKYO,,needs_review
2026-03-14,服飾,SHETLAND FOX,,needs_review
2026-03-14,レジャー・アミューズメント,SMALL WORLDS TOKYO,,needs_review
2026-03-14,服飾,SUIT SELECT,,needs_review
2026-03-14,服飾,SUIT SQUARE,,needs_review
2026-03-14,百貨店・モール,ShinQsビューティパレット,,needs_review
2026-03-14,グルメ,TEXMEX FACTORY,,needs_review
2026-03-14,グルメ,TGI FRIDAYS,,needs_review
2026-03-14,グルメ,THE 3RD CAFE by Standard Coffee,,needs_review
2026-03-14,本,TSUTAYA,,needs_review
2026-03-14,本,TSUTAYA BOOKSTORE,,needs_review
2026-03-14,服飾,UNIVERSAL LANGUAGE,,needs_review
2026-03-14,服飾,UNIVERSAL LANGUAGE MEASURE'S,,needs_review
