shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url,is_closed,accepts_online,phone,hours,note
matsuya-0005e77e0b84,matsuya,松屋,松屋 植田一本松店（松のや併設）,愛知県名古屋市天白区一本松2-701,35.137699,136.985971,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/122,FALSE,TRUE,080-5928-1040,24時間営業,※22時から翌朝5時の間、 深夜料金として、7%前後を加算させていただきます。
matsuya-001993c1120b,matsuya,松屋,松屋 東予丹原店（松のや併設）,愛媛県西条市周布762-1,33.918399,133.077849,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/3321,FALSE,TRUE,080-9837-9599,24時間営業,※22時から翌朝5時の間、 深夜料金として、7%前後を加算させていただきます。
matsuya-00665428273e,matsuya,松屋,松屋 フォーポイント フレックス by シェラトン 神戸三宮店,兵庫県神戸市中央区布引町2-1-9 フォーポイント フレックス by シェラトン 神戸三宮 1F,34.699149,135.194132,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/1217,FALSE,TRUE,080-9021-6734,24時間営業,旧ユニゾイン神戸三宮店 ※22時から翌朝5時の間、 深夜料金として、7%前後を加算させていただきます。
matsuya-006e6fb696ad,matsuya,松屋,松屋 常陸太田店（松のや併設）,茨城県常陸太田市塙町字鯉沼4552,36.542073,140.532298,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/2242,FALSE,TRUE,080-9837-3960,5時から翌2時、ラストオーダー15分前,※22時から翌朝5時の間、 深夜料金として、7%前後を加算させていただきます。
matsuya-00a3156c2e0c,matsuya,松屋,松屋 今池店（松のや併設）,愛知県名古屋市千種区今池5-23-14 コザキ今池ビル1F,35.167076,136.936888,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/98,FALSE,TRUE,080-5928-0995,24時間営業,※22時から翌朝5時の間、 深夜料金として、7%前後を加算させていただきます。
matsuya-0176fc5b1111,matsuya,松屋,松屋 京成臼井店（松のや併設）,千葉県佐倉市王子台3-30-4 臼井VIM1F,35.729683,140.180933,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/2699,FALSE,TRUE,070-2021-5204,24時間営業,※22時から翌朝5時の間、 深夜料金として、7%前後を加算させていただきます。
matsuya-019cec5a8664,matsuya,松屋,松屋 シティタワー品川店,東京都港区港南4-2-20 シティタワー品川１階Ｆ区画,35.631303,139.748195,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/3225,FALSE,TRUE,070-2298-5936,24時間営業,※22時から翌朝5時の間、 深夜料金として、7%前後を加算させていただきます。
matsuya-01a7b6f0ad4c,matsuya,松屋,松屋 名駅西店（マイカリー食堂併設）,愛知県名古屋市中村区亀島2-12-1,35.174601,136.878933,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/1933,FALSE,TRUE,070-7414-1658,24時間営業,※22時から翌朝5時の間、 深夜料金として、7%前後を加算させていただきます。
matsuya-01c20351e212,matsuya,松屋,松屋 東大阪七軒家店（松のや併設）,大阪府東大阪市七軒家18-21,34.686938,135.589069,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/2635,FALSE,TRUE,070-7414-1673,24時間営業,※22時から翌朝5時の間、 深夜料金として、7%前後を加算させていただきます。
matsuya-028b9a927ea3,matsuya,松屋,松屋 大森北口店,東京都品川区南大井6-24-1 セブンスターマンション第五大森,35.589337,139.730102,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/584,FALSE,TRUE,080-5928-0643,24時間営業,※22時から翌朝5時の間、 深夜料金として、7%前後を加算させていただきます。
