shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url,phone,hours,parking
nishimatsuya-1,nishimatsuya,西松屋,つかしん店,兵庫県尼崎市塚口本町4-8-1 ひがしまち南館3F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=28&doc=1,080-4605-7013,AM10:00〜PM9:00,2000台
nishimatsuya-10,nishimatsuya,西松屋,水戸けやき台店,茨城県水戸市けやき台2丁目1番,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=8&doc=10,080-3720-1584,AM10:00〜PM7:00,32台
nishimatsuya-100,nishimatsuya,西松屋,伊勢崎連取店,群馬県伊勢崎市連取町1475-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=10&doc=100,080-3252-2147,AM10:00〜PM8:00,15台
nishimatsuya-1000,nishimatsuya,西松屋,イオンスーパーセンター手稲山口店,北海道札幌市手稲区明日風6丁目1-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=1&doc=1000,080-7598-3799,AM10:00〜PM8:00,1295台
nishimatsuya-1002,nishimatsuya,西松屋,ハローズ東広島モール店,広島県東広島市西条西本町28-30 ハローズ東広島モール2F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=34&doc=1002,080-9186-7940,AM10:00〜PM8:00,約400台（2F：60台）
nishimatsuya-1003,nishimatsuya,西松屋,イオンタウン観音寺店,香川県観音寺市昭和町1丁目3番18号 イオンタウン観音寺SC内,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=37&doc=1003,070-3135-0065,AM10:00〜PM8:00,452台
nishimatsuya-1004,nishimatsuya,西松屋,ガーラタウン青森店,青森県青森市三好二丁目1番9号 ガーラタウン内,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=2&doc=1004,080-7263-9562,AM10:00〜PM8:00,1214台
nishimatsuya-1005,nishimatsuya,西松屋,一宮浜町店,愛知県一宮市浜町4-6,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=23&doc=1005,080-7263-6708,AM10:00〜PM8:00,21台
nishimatsuya-1006,nishimatsuya,西松屋,宇佐葛原店,大分県宇佐市大字葛原字東ノ田233番地1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=44&doc=1006,080-9644-7659,AM10:00〜PM7:00,52台
nishimatsuya-1007,nishimatsuya,西松屋,島忠ホームズ町田三輪店,東京都町田市三輪町281-1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=13&doc=1007,080-4409-4857,AM10:00〜PM8:00,590台
nishimatsuya-1008,nishimatsuya,西松屋,伊勢崎田部井町店,群馬県伊勢崎市田部井町3-180-2,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=10&doc=1008,080-9150-3828,AM10:00〜PM7:00,47台
nishimatsuya-1009,nishimatsuya,西松屋,イトーヨーカドー三郷店,埼玉県三郷市ピアラシティ1-1-1 イトーヨーカドー三郷店の2F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=11&doc=1009,080-4831-9137,AM10:00〜PM8:00,3100台
nishimatsuya-101,nishimatsuya,西松屋,伊川谷店,兵庫県神戸市西区北別府5-1-5,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=28&doc=101,080-9705-1923,AM10:00〜PM8:00,36台
nishimatsuya-1010,nishimatsuya,西松屋,瀬戸内邑久店,岡山県瀬戸内市邑久町豊安18番1,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=33&doc=1010,080-7964-6046,AM10:00〜PM7:00,59台
nishimatsuya-1011,nishimatsuya,西松屋,飯塚柏の森店,福岡県飯塚市柏の森字山内1番33,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=40&doc=1011,070-3145-2156,AM10:00〜PM7:00,53台
nishimatsuya-1012,nishimatsuya,西松屋,アルプラザ木津店,京都府木津川市相楽城西15 アルプラザ木津2F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=26&doc=1012,070-1565-4775,AM10:00〜PM9:00,約800台
nishimatsuya-1013,nishimatsuya,西松屋,ロイヤルホームセンター奈良店,奈良県奈良市西九条町3丁目13 ロイヤルホームセンター奈良2F,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=29&doc=1013,070-1400-7094,AM10:00〜PM8:00,287台
nishimatsuya-1014,nishimatsuya,西松屋,グリナード永山店,東京都多摩市永山1丁目4番地,,,smart_code,https://www.24028.jp/tenpo/detail.php?cid=13&doc=1014,070-3324-3455,AM10:00〜PM8:00,612台
